model,spearman_correlation,pearson_correlation,kendall_correlation,teams_count,spearman_p_value,pearson_p_value,kendall_p_value
qwen_few_shot,0.8751855928667727,0.9227430382061373,0.7179749429489257,16,9.04099102613616e-06,3.5845169994494636e-07,0.00014189525459763766
qwen_zero_shot,0.8215374976692026,0.9044370860937915,0.6102571532587294,16,9.50799294891242e-05,1.5110364607150435e-06,0.0011345491313803765
deepseek_few_shot,0.8185876323274819,0.8919539076211933,0.6272087408492496,16,0.00010575614465081401,3.4488695076994906e-06,0.0008220674437115497
openai_few_shot,0.7947155488920297,0.7888845381001199,0.6067798762169179,17,0.00013809385424324599,0.0001672934984893626,0.0008058913590174976
openai_zero_shot,0.7750474146580428,0.8347291549581465,0.6367443145486176,17,0.0002578542383559951,3.074868970853227e-05,0.0004377164019987475
deepseek_zero_shot,0.7713897868599514,0.838160329038175,0.5933055656682091,16,0.0004663601555324653,5.025560686238785e-05,0.0015538646559807878
